Maturity date,31-Jan-24,31-Oct-26,30-Jun-24,31-Oct-25,29-Dec-26,31-Jan-25,31-May-26,29-Jun-23,29-Jun-25,29-Jun-28,28-Sep-24,31-Jan-24,31-Jan-26,31-Jan-29,31-Jul-26,29-May-30,29-Jan-24,29-Jan-26,29-Jan-28,29-Jan-31,29-Oct-24,29-Oct-26,29-Oct-28,29-Oct-31,30-Sep-25,30-Sep-27,30-Sep-29,30-Sep-32,31-May-26,31-May-28,31-May-30,31-May-33,31-Aug-23,29-Mar-28
31-Aug-10,13.427,16.178,13.841,15.178,16.34,14.43,15.759,12.836,14.838,17.841,14.088,13.427,15.43,18.433,15.926,19.756,13.422,15.425,17.425,20.427,14.173,16.173,18.175,21.175,15.093,17.093,19.096,22.099,15.759,17.762,19.762,22.764,13.008,17.589
1-Sep-10,13.425,16.175,13.838,15.175,16.337,14.427,15.756,12.833,14.836,17.838,14.085,13.425,15.427,18.43,15.923,19.753,13.419,15.422,17.422,20.425,14.17,16.17,18.173,21.173,15.09,17.09,19.093,22.096,15.756,17.759,19.759,22.762,13.005,17.586
2-Sep-10,13.422,16.173,13.836,15.173,16.334,14.425,15.753,12.83,14.833,17.836,14.082,13.422,15.425,18.427,15.921,19.751,13.416,15.419,17.419,20.422,14.167,16.167,18.17,21.17,15.088,17.088,19.09,22.093,15.753,17.756,19.756,22.759,13.003,17.584
3-Sep-10,13.419,16.17,13.833,15.17,16.332,14.422,15.751,12.827,14.83,17.833,14.079,13.419,15.422,18.425,15.918,19.748,13.414,15.416,17.416,20.419,14.164,16.164,18.167,21.167,15.085,17.085,19.088,22.09,15.751,17.753,19.753,22.756,13,17.581
4-Sep-10,13.416,16.167,13.83,15.167,16.329,14.419,15.748,12.825,14.827,17.83,14.077,13.416,15.419,18.422,15.915,19.745,13.411,15.414,17.414,20.416,14.162,16.162,18.164,21.164,15.082,17.082,19.085,22.088,15.748,17.751,19.751,22.753,12.997,17.578
5-Sep-10,13.414,16.164,13.827,15.164,16.326,14.416,15.745,12.822,14.825,17.827,14.074,13.414,15.416,18.419,15.912,19.742,13.408,15.411,17.411,20.414,14.159,16.159,18.162,21.162,15.079,17.079,19.082,22.085,15.745,17.748,19.748,22.751,12.995,17.575
6-Sep-10,13.411,16.162,13.825,15.162,16.323,14.414,15.742,12.819,14.822,17.825,14.071,13.411,15.414,18.416,15.91,19.74,13.405,15.408,17.408,20.411,14.156,16.156,18.159,21.159,15.077,17.077,19.079,22.082,15.742,17.745,19.745,22.748,12.992,17.573
7-Sep-10,13.408,16.159,13.822,15.159,16.321,14.411,15.74,12.816,14.819,17.822,14.068,13.408,15.411,18.414,15.907,19.737,13.403,15.405,17.405,20.408,14.153,16.153,18.156,21.156,15.074,17.074,19.077,22.079,15.74,17.742,19.742,22.745,12.989,17.57
8-Sep-10,13.405,16.156,13.819,15.156,16.318,14.408,15.737,12.814,14.816,17.819,14.066,13.405,15.408,18.411,15.904,19.734,13.4,15.403,17.403,20.405,14.151,16.151,18.153,21.153,15.071,17.071,19.074,22.077,15.737,17.74,19.74,22.742,12.986,17.567
9-Sep-10,13.403,16.153,13.816,15.153,16.315,14.405,15.734,12.811,14.814,17.816,14.063,13.403,15.405,18.408,15.901,19.732,13.397,15.4,17.4,20.403,14.148,16.148,18.151,21.151,15.068,17.068,19.071,22.074,15.734,17.737,19.737,22.74,12.984,17.564
